Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Curacao,CUW,"GDP per capita, PPP (current international $)",,,,,,,,,,,22701.96044,23897.75198,24342.34454,24358.34994,24637.58086,24932.89034,25445.7018,26251.05177,27005.29252,26890.91975,26884.27092,27224.40097,26175.4939,25921.15841,25379.2977,25090.20812,24808.40367,25475.48966,25571.64676,
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",,,,,,,,,,,,,,,,,71391.17499,73399.68824,72404.99821,65885.13881,63298.17765,64013.63594,62801.22815,62441.04907,63067.41992,64230.41201,66490.48877,69420.51146,72480.50701,
Cyprus,CYP,"GDP per capita, PPP (current international $)",13323.85439,13521.70912,14732.6467,14824.91913,15706.59805,17064.73832,17288.67269,17774.64035,18758.48335,19662.69258,21296.57684,22871.58828,23556.24012,24253.16334,25921.35166,27763.27611,29979.159,32847.4741,34830.16612,33917.4867,33445.90649,33313.57915,31834.67636,30375.10632,30042.82711,31722.21621,35388.83253,37766.90166,39737.32519,41254.40459
Czech Republic,CZE,"GDP per capita, PPP (current international $)",12656.24108,11592.31127,11784.37705,12058.50911,12669.73736,13748.59134,14575.97003,14727.19128,14906.35879,15324.10643,16194.62811,17554.65934,18189.23435,19426.38627,20799.25127,21956.38386,23772.47213,26122.98828,27844.79533,27620.19886,27688.14266,28797.41796,29047.24644,30485.71415,32263.31575,33691.42424,35876.72744,38489.49631,40389.35761,42575.61148
Germany,DEU,"GDP per capita, PPP (current international $)",19427.50938,20957.20111,21682.58841,21834.92225,22756.90835,23521.44473,24035.44037,24564.40671,25344.59352,26291.21108,27209.22724,28380.6589,29178.63747,29875.49426,31305.43091,31794.09601,34119.12377,36249.77361,37802.38743,36851.28209,38978.7437,42541.53109,43359.61483,44993.89275,47011.55109,47683.7886,50564.25131,53011.76816,54456.92926,56052.42207
Djibouti,DJI,"GDP per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,,,,4103.955142,4289.086748,4574.474876,4692.575942,4885.220563,5337.124925,5748.081044
Dominica,DMA,"GDP per capita, PPP (current international $)",4299.051517,4507.158228,4692.117403,4887.257038,4978.415091,5232.770513,5506.579629,5751.267814,6071.087947,6211.568504,6516.257454,6653.953701,6551.441467,7070.44996,7452.326953,7712.208308,8300.592531,9055.277027,9884.291475,9839.806461,10017.62053,10198.54896,9945.288446,10146.34798,10910.29745,11139.94898,11949.53406,11304.35971,11805.55362,12659.34451
Denmark,DNK,"GDP per capita, PPP (current international $)",18210.3067,19039.02918,19788.45434,20192.07724,21649.74637,22654.58398,23698.8801,24920.00413,25813.57037,26653.8239,28668.86342,29449.90744,30640.34562,30786.72547,32908.83236,34150.15946,37289.36184,38965.67298,41278.32683,40370.22554,43031.80733,44403.38484,44803.96824,46726.85414,47901.44736,49058.50107,51970.7498,55064.90886,57218.40645,59830.15424
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",3668.379743,3756.148508,4193.273522,4524.401903,4656.492328,4937.329829,5238.828424,5708.188068,6062.52209,6414.743194,6760.125687,6973.541183,7295.056532,7226.721281,7506.733761,8356.012994,9274.89252,10098.69355,10491.61958,10539.39782,11410.34875,11869.13398,11900.491,12482.1646,13475.01647,14740.8197,16109.85592,16735.33259,18129.70864,19182.40915
Algeria,DZA,"GDP per capita, PPP (current international $)",6916.718865,6893.121808,7010.394905,6871.418624,6812.439525,7083.012459,7377.936674,7466.139345,7817.021883,8068.555519,8446.859524,8775.399134,9294.135581,10019.67993,10591.37471,11406.00704,11776.41993,12311.4348,12643.55561,12722.78719,13095.86782,13500.47566,13303.4155,13056.78872,13003.19323,12015.64908,11624.31583,11550.55546,11750.37917,11820.08768
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",1446.440853,1586.281093,1763.58574,1966.640658,2185.898995,2414.362042,2641.892726,2833.456955,2854.581136,3032.081784,3294.433511,3551.356723,3849.133913,4218.29654,4670.753685,5227.422028,5899.811352,6719.891902,7359.19281,7907.575854,8703.916277,9550.239475,10355.35465,10953.56527,11464.02972,11794.39154,12313.16888,12986.29651,14049.69969,15031.02789
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",2915.532625,3092.138413,3229.889872,3321.076016,3426.541527,3551.837772,3746.864001,3900.33823,3860.263903,3936.562547,4137.6818,4231.105392,4307.983306,4549.889727,4904.483776,5278.922977,5712.310701,6133.001961,6421.157076,6522.077658,6929.902806,7333.796251,7704.225577,7944.095613,8166.747022,8264.965368,8552.928933,8977.606584,9444.79592,9777.970848
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",3214.543799,3460.507498,3684.360196,3924.9286,4208.619807,4524.942905,4844.079169,5098.021337,5095.11192,5333.015976,5734.45674,6032.782135,6406.616907,6823.870444,7406.331408,8059.482703,8845.744592,9781.833398,10408.85415,10809.82614,11732.33495,12620.67095,13466.26846,14173.56608,14695.65656,15114.12041,15607.37718,16334.37469,17399.66937,18443.48878
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",7047.74326,6883.390161,6340.996628,6107.607279,5507.375701,5511.175971,5586.400006,5843.153503,5342.796597,5522.396027,6189.182551,6537.424464,6998.150547,7735.763389,8639.735957,9729.433107,11626.77415,12926.67905,14788.72474,14273.93784,15276.54089,16850.66588,17856.12033,19246.54111,19657.10755,19192.60653,19570.01631,20831.07307,22204.78387,22595.80296
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",11804.61824,12095.89883,12131.24149,12215.86727,12420.2587,12907.22135,13353.63979,13948.63301,14233.54744,14783.16377,15921.5723,16724.51157,17526.85562,18180.43907,19303.77585,20346.79726,22513.10908,24125.57867,25783.6428,25080.11911,26123.37009,27663.18532,28424.24551,29721.71359,30468.49784,30891.08695,32293.08774,34069.87487,35535.34435,36828.26771
